ID,score,dimension_condition
1,4.25,autotelic_paper
2,3.25,autotelic_paper
3,3.25,autotelic_paper
4,3.5,autotelic_paper
5,3.25,autotelic_paper
6,2.75,autotelic_paper
7,4.75,autotelic_vr
8,4.5,autotelic_vr
9,3.75,autotelic_vr
10,3.25,autotelic_paper
11,4,autotelic_paper
12,3,autotelic_paper
13,4.5,autotelic_paper
14,3.25,autotelic_paper
15,NaN,autotelic_paper
16,3,autotelic_vr
17,4,autotelic_vr
18,2.75,autotelic_vr
19,3,autotelic_vr
20,3.25,autotelic_vr
21,2.75,autotelic_vr
22,4.75,autotelic_vr
23,3.25,autotelic_vr
24,2.5,autotelic_vr
25,4,autotelic_paper
26,2.75,autotelic_paper
27,3.75,autotelic_paper
28,2.5,autotelic_paper
29,4,autotelic_paper
30,3.25,autotelic_paper
31,3.5,autotelic_paper
32,3.25,autotelic_paper
33,2.5,autotelic_paper
34,3.25,autotelic_vr
35,4.75,autotelic_vr
36,3.25,autotelic_vr
37,4.5,autotelic_vr
38,3.25,autotelic_vr
39,1.75,autotelic_vr
40,3.5,autotelic_vr
41,4.5,autotelic_vr
42,2.5,autotelic_vr
43,1.25,autotelic_paper
44,2,autotelic_paper
45,2.75,autotelic_paper
46,2.75,autotelic_paper
47,2.5,autotelic_paper
48,4,autotelic_paper
49,1.5,autotelic_paper
50,3.5,autotelic_paper
51,2,autotelic_paper
52,3,autotelic_vr
53,4,autotelic_vr
54,5,autotelic_vr
55,5,autotelic_vr
56,4.75,autotelic_vr
57,3,autotelic_vr
58,2.25,autotelic_vr
59,3.75,autotelic_vr
60,3.75,autotelic_vr
61,3.25,autotelic_vr
62,2.75,autotelic_vr
63,2.75,autotelic_vr
64,3,autotelic_vr
65,4.25,autotelic_vr
66,4.25,autotelic_vr
67,4,autotelic_vr
68,4.25,autotelic_vr
69,3,autotelic_vr
70,3.75,autotelic_vr
71,3.25,autotelic_paper
72,5,autotelic_paper
73,1.5,autotelic_paper
74,3.25,autotelic_paper
75,3.5,autotelic_paper
76,2,autotelic_paper
77,1.5,autotelic_paper
78,2,autotelic_paper
79,4,autotelic_paper
80,3.75,autotelic_paper
