ID,score,dimension_condition
1,4.25,challenge_skill_paper
2,3.5,challenge_skill_paper
3,4,challenge_skill_paper
4,3.75,challenge_skill_paper
5,4,challenge_skill_paper
6,3,challenge_skill_paper
7,4,challenge_skill_vr
8,4,challenge_skill_vr
9,4,challenge_skill_vr
10,4.5,challenge_skill_paper
11,4.25,challenge_skill_paper
12,2.25,challenge_skill_paper
13,4.5,challenge_skill_paper
14,3.5,challenge_skill_paper
15,NaN,challenge_skill_paper
16,4,challenge_skill_vr
17,3.5,challenge_skill_vr
18,2.75,challenge_skill_vr
19,3.75,challenge_skill_vr
20,3.75,challenge_skill_vr
21,3.5,challenge_skill_vr
22,4,challenge_skill_vr
23,4.25,challenge_skill_vr
24,3.75,challenge_skill_vr
25,4,challenge_skill_paper
26,3.25,challenge_skill_paper
27,4,challenge_skill_paper
28,3.25,challenge_skill_paper
29,3,challenge_skill_paper
30,3.75,challenge_skill_paper
31,2.25,challenge_skill_paper
32,3.5,challenge_skill_paper
33,2,challenge_skill_paper
34,3.5,challenge_skill_vr
35,4.75,challenge_skill_vr
36,3.75,challenge_skill_vr
37,3.5,challenge_skill_vr
38,3,challenge_skill_vr
39,2,challenge_skill_vr
40,3,challenge_skill_vr
41,4.25,challenge_skill_vr
42,3.75,challenge_skill_vr
43,2.75,challenge_skill_paper
44,4,challenge_skill_paper
45,3,challenge_skill_paper
46,3.75,challenge_skill_paper
47,3.5,challenge_skill_paper
48,3.75,challenge_skill_paper
49,2,challenge_skill_paper
50,4.25,challenge_skill_paper
51,1.75,challenge_skill_paper
52,2.75,challenge_skill_vr
53,4,challenge_skill_vr
54,5,challenge_skill_vr
55,4.75,challenge_skill_vr
56,3.5,challenge_skill_vr
57,4,challenge_skill_vr
58,3.75,challenge_skill_vr
59,3.5,challenge_skill_vr
60,4,challenge_skill_vr
61,3.5,challenge_skill_vr
62,2.5,challenge_skill_vr
63,3.5,challenge_skill_vr
64,2.5,challenge_skill_vr
65,3.5,challenge_skill_vr
66,3.5,challenge_skill_vr
67,3.75,challenge_skill_vr
68,3.5,challenge_skill_vr
69,4,challenge_skill_vr
70,3,challenge_skill_vr
71,3.25,challenge_skill_paper
72,4.5,challenge_skill_paper
73,2.25,challenge_skill_paper
74,2,challenge_skill_paper
75,4,challenge_skill_paper
76,3,challenge_skill_paper
77,2.5,challenge_skill_paper
78,3.5,challenge_skill_paper
79,4.25,challenge_skill_paper
80,4.5,challenge_skill_paper
