ID,score,dimension_condition
1,5,concentration_paper
2,4,concentration_paper
3,4,concentration_paper
4,4.75,concentration_paper
5,4.5,concentration_paper
6,3,concentration_paper
7,3.75,concentration_vr
8,4.25,concentration_vr
9,2.25,concentration_vr
10,5,concentration_paper
11,4.75,concentration_paper
12,3.5,concentration_paper
13,5,concentration_paper
14,4,concentration_paper
15,NaN,concentration_paper
16,4,concentration_vr
17,4.5,concentration_vr
18,4,concentration_vr
19,2.5,concentration_vr
20,3.5,concentration_vr
21,3,concentration_vr
22,3.25,concentration_vr
23,4.75,concentration_vr
24,3,concentration_vr
25,4,concentration_paper
26,5,concentration_paper
27,4,concentration_paper
28,4,concentration_paper
29,4.25,concentration_paper
30,4,concentration_paper
31,4.75,concentration_paper
32,3,concentration_paper
33,1.5,concentration_paper
34,3,concentration_vr
35,4.25,concentration_vr
36,3,concentration_vr
37,4.5,concentration_vr
38,4.25,concentration_vr
39,2.75,concentration_vr
40,4.25,concentration_vr
41,3.75,concentration_vr
42,3.75,concentration_vr
43,3.75,concentration_paper
44,4.75,concentration_paper
45,4.75,concentration_paper
46,4,concentration_paper
47,2,concentration_paper
48,2.75,concentration_paper
49,2,concentration_paper
50,4.25,concentration_paper
51,2,concentration_paper
52,4.5,concentration_vr
53,3,concentration_vr
54,5,concentration_vr
55,4.5,concentration_vr
56,4.333333,concentration_vr
57,4.25,concentration_vr
58,2.75,concentration_vr
59,3,concentration_vr
60,4.75,concentration_vr
61,2.75,concentration_vr
62,2.75,concentration_vr
63,4,concentration_vr
64,3,concentration_vr
65,4,concentration_vr
66,4.75,concentration_vr
67,4,concentration_vr
68,2.75,concentration_vr
69,3.75,concentration_vr
70,5,concentration_vr
71,3.25,concentration_paper
72,5,concentration_paper
73,1.75,concentration_paper
74,4,concentration_paper
75,4,concentration_paper
76,4,concentration_paper
77,5,concentration_paper
78,4,concentration_paper
79,3.5,concentration_paper
80,4.5,concentration_paper
