ID,score,dimension_condition
1,3.75,control_paper
2,3.75,control_paper
3,4,control_paper
4,4.25,control_paper
5,4,control_paper
6,3.5,control_paper
7,3.5,control_vr
8,4,control_vr
9,3.5,control_vr
10,5,control_paper
11,5,control_paper
12,3.5,control_paper
13,5,control_paper
14,3.5,control_paper
15,NaN,control_paper
16,4,control_vr
17,3.25,control_vr
18,4.5,control_vr
19,3,control_vr
20,3,control_vr
21,3.75,control_vr
22,4.5,control_vr
23,4.75,control_vr
24,3,control_vr
25,3.5,control_paper
26,5,control_paper
27,4,control_paper
28,4.75,control_paper
29,3.5,control_paper
30,4,control_paper
31,2.25,control_paper
32,3.25,control_paper
33,2.25,control_paper
34,4,control_vr
35,4.75,control_vr
36,3,control_vr
37,3.25,control_vr
38,3.5,control_vr
39,2.25,control_vr
40,4.25,control_vr
41,4,control_vr
42,3,control_vr
43,2,control_paper
44,3.5,control_paper
45,4,control_paper
46,3.5,control_paper
47,3.25,control_paper
48,2.75,control_paper
49,3.25,control_paper
50,4.75,control_paper
51,2.5,control_paper
52,3,control_vr
53,3,control_vr
54,4.5,control_vr
55,5,control_vr
56,4.5,control_vr
57,4.25,control_vr
58,2.25,control_vr
59,3.5,control_vr
60,4.5,control_vr
61,3.75,control_vr
62,3.5,control_vr
63,3.5,control_vr
64,2.25,control_vr
65,4.5,control_vr
66,4.75,control_vr
67,2.75,control_vr
68,4.25,control_vr
69,3.25,control_vr
70,4.75,control_vr
71,3.5,control_paper
72,5,control_paper
73,2,control_paper
74,3.75,control_paper
75,4,control_paper
76,4,control_paper
77,3.5,control_paper
78,3.75,control_paper
79,4.75,control_paper
80,4.75,control_paper
