ID,score,dimension_condition
1,4.25,feedback_paper
2,3,feedback_paper
3,4,feedback_paper
4,3,feedback_paper
5,4,feedback_paper
6,2.25,feedback_paper
7,4.25,feedback_vr
8,2.5,feedback_vr
9,4,feedback_vr
10,3.5,feedback_paper
11,3.75,feedback_paper
12,2,feedback_paper
13,5,feedback_paper
14,2.5,feedback_paper
15,NaN,feedback_paper
16,3.5,feedback_vr
17,1.75,feedback_vr
18,2.75,feedback_vr
19,2.5,feedback_vr
20,2.75,feedback_vr
21,2.25,feedback_vr
22,3.5,feedback_vr
23,4,feedback_vr
24,3,feedback_vr
25,4,feedback_paper
26,4.5,feedback_paper
27,3.25,feedback_paper
28,3.5,feedback_paper
29,3.5,feedback_paper
30,4,feedback_paper
31,2.25,feedback_paper
32,3.5,feedback_paper
33,1.5,feedback_paper
34,4,feedback_vr
35,4,feedback_vr
36,3.5,feedback_vr
37,2.25,feedback_vr
38,2.5,feedback_vr
39,2.5,feedback_vr
40,3,feedback_vr
41,2.25,feedback_vr
42,2.5,feedback_vr
43,1.5,feedback_paper
44,3,feedback_paper
45,2.5,feedback_paper
46,4,feedback_paper
47,2.5,feedback_paper
48,4.75,feedback_paper
49,2,feedback_paper
50,3.75,feedback_paper
51,3,feedback_paper
52,3.75,feedback_vr
53,4.75,feedback_vr
54,4.75,feedback_vr
55,3.5,feedback_vr
56,3,feedback_vr
57,2.75,feedback_vr
58,2,feedback_vr
59,4,feedback_vr
60,3.75,feedback_vr
61,3,feedback_vr
62,2,feedback_vr
63,3.5,feedback_vr
64,2,feedback_vr
65,4,feedback_vr
66,4.5,feedback_vr
67,2.5,feedback_vr
68,2.75,feedback_vr
69,2.5,feedback_vr
70,3,feedback_vr
71,2,feedback_paper
72,3.25,feedback_paper
73,1.75,feedback_paper
74,3,feedback_paper
75,3.75,feedback_paper
76,2.25,feedback_paper
77,2.25,feedback_paper
78,3.25,feedback_paper
79,4.25,feedback_paper
80,4,feedback_paper
