ID,score,dimension_condition
1,3.25,self_consciousness_paper
2,3.75,self_consciousness_paper
3,3.75,self_consciousness_paper
4,4.5,self_consciousness_paper
5,4,self_consciousness_paper
6,4.25,self_consciousness_paper
7,4.75,self_consciousness_vr
8,4,self_consciousness_vr
9,3.75,self_consciousness_vr
10,5,self_consciousness_paper
11,5,self_consciousness_paper
12,3.75,self_consciousness_paper
13,5,self_consciousness_paper
14,4.25,self_consciousness_paper
15,NaN,self_consciousness_paper
16,4.75,self_consciousness_vr
17,4.25,self_consciousness_vr
18,2.75,self_consciousness_vr
19,4.25,self_consciousness_vr
20,1.5,self_consciousness_vr
21,4,self_consciousness_vr
22,4.5,self_consciousness_vr
23,4,self_consciousness_vr
24,2.5,self_consciousness_vr
25,4.25,self_consciousness_paper
26,3.5,self_consciousness_paper
27,3.25,self_consciousness_paper
28,3,self_consciousness_paper
29,3.25,self_consciousness_paper
30,3.25,self_consciousness_paper
31,2,self_consciousness_paper
32,3.75,self_consciousness_paper
33,2,self_consciousness_paper
34,5,self_consciousness_vr
35,4.5,self_consciousness_vr
36,2.75,self_consciousness_vr
37,1.25,self_consciousness_vr
38,3.5,self_consciousness_vr
39,2,self_consciousness_vr
40,4,self_consciousness_vr
41,4.75,self_consciousness_vr
42,4,self_consciousness_vr
43,1,self_consciousness_paper
44,2.75,self_consciousness_paper
45,2.75,self_consciousness_paper
46,4,self_consciousness_paper
47,3.75,self_consciousness_paper
48,3,self_consciousness_paper
49,2,self_consciousness_paper
50,4,self_consciousness_paper
51,3.25,self_consciousness_paper
52,4,self_consciousness_vr
53,2,self_consciousness_vr
54,4.25,self_consciousness_vr
55,5,self_consciousness_vr
56,3.5,self_consciousness_vr
57,3,self_consciousness_vr
58,2.5,self_consciousness_vr
59,3.25,self_consciousness_vr
60,3.75,self_consciousness_vr
61,3.75,self_consciousness_vr
62,2,self_consciousness_vr
63,4,self_consciousness_vr
64,3,self_consciousness_vr
65,5,self_consciousness_vr
66,4.5,self_consciousness_vr
67,3.75,self_consciousness_vr
68,3.75,self_consciousness_vr
69,2.75,self_consciousness_vr
70,4.5,self_consciousness_vr
71,3.25,self_consciousness_paper
72,5,self_consciousness_paper
73,3,self_consciousness_paper
74,2.75,self_consciousness_paper
75,2.75,self_consciousness_paper
76,3.5,self_consciousness_paper
77,3.75,self_consciousness_paper
78,3.5,self_consciousness_paper
79,4,self_consciousness_paper
80,4.75,self_consciousness_paper
