ID,score,dimension_condition
1,1.75,time_paper
2,2.75,time_paper
3,2.75,time_paper
4,3,time_paper
5,2.75,time_paper
6,2.5,time_paper
7,3.75,time_vr
8,4,time_vr
9,2.5,time_vr
10,3,time_paper
11,4,time_paper
12,3,time_paper
13,3.25,time_paper
14,2,time_paper
15,NaN,time_paper
16,4,time_vr
17,3.5,time_vr
18,4.25,time_vr
19,1.75,time_vr
20,1.25,time_vr
21,1.5,time_vr
22,3,time_vr
23,2.5,time_vr
24,3.75,time_vr
25,3,time_paper
26,2.5,time_paper
27,3.75,time_paper
28,2.75,time_paper
29,3.5,time_paper
30,3.25,time_paper
31,3.25,time_paper
32,2.5,time_paper
33,2.5,time_paper
34,2.5,time_vr
35,3.5,time_vr
36,3.25,time_vr
37,4.25,time_vr
38,4,time_vr
39,3.25,time_vr
40,3.25,time_vr
41,3.25,time_vr
42,2.25,time_vr
43,2.5,time_paper
44,1.5,time_paper
45,2.75,time_paper
46,2.25,time_paper
47,3.5,time_paper
48,2,time_paper
49,3,time_paper
50,3.25,time_paper
51,2.5,time_paper
52,3.5,time_vr
53,3,time_vr
54,2.5,time_vr
55,4.5,time_vr
56,2.75,time_vr
57,3.5,time_vr
58,1.75,time_vr
59,2,time_vr
60,3.25,time_vr
61,3,time_vr
62,2.75,time_vr
63,2.25,time_vr
64,3.5,time_vr
65,3,time_vr
66,3.75,time_vr
67,3,time_vr
68,4,time_vr
69,2.5,time_vr
70,4,time_vr
71,3,time_paper
72,4,time_paper
73,3.5,time_paper
74,3,time_paper
75,2.5,time_paper
76,2,time_paper
77,3.5,time_paper
78,3,time_paper
79,3.25,time_paper
80,2.5,time_paper
