ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total
1,1,1,1.5,1,0,1,1,1.5,8
2,0,0,0,1,1,0,1,1.5,4.5
3,1,1,0,1,0,1,0,1.5,5.5
4,0,1,0,0,0.5,0,0.5,0.5,2.5
5,0,0.5,0,0.5,0,0,1,0,2
6,0.5,0.5,0.5,0,0,0.5,1,1.5,4.5
7,1,1,0.5,0,0,0,1,1.5,5
8,0,0,0,0,0,0,0,1.5,1.5
9,0,0.5,0.5,1.5,1,0,0,0.5,4
10,0.5,1,0,1,1,1,1,0.5,6
11,1,0,1,0,1,0,1,0.5,4.5
12,1,0,0.5,0,0,0,0,0,1.5
13,1,1,0,1.5,1,1.5,1,1.5,8.5
14,0,1,1.5,0,0,0.5,1,0,4
15,0,1,1,0,0,0,1,0.5,3.5
16,0,0,0,1.5,1,0,0,0.5,3
17,0,1,1.5,1.5,0,0,0,1.5,5.5
18,0,0,0.5,0,0.5,0,1,1.5,3.5
19,0,1,1.5,1,1,0,1,1.5,7
20,0.5,1,0,1.5,1,1,0,1.5,6.5
21,0,0,1,1.5,1,1,0,1.5,6
22,0,1,0,1,0,0,1,1.5,4.5
23,0,1,0,1.5,0.5,0,0,1.5,4.5
24,1,0,0,1,0,0,0,1.5,3.5
25,1,1,1.5,0,0.5,1,0,1.5,6.5
26,1,1,1,0.5,0.5,0.5,1,1.5,7
27,0,1,1.5,1,0.5,0,1,1.5,6.5
28,1,1,0,1.5,1,1,0,1.5,7
29,0,0,0,0,0,0,0.5,0.5,1
30,1,0,1,0,0,0,1,0,3
31,0.5,1,0,1.5,1,1,1,1.5,7.5
32,0,1,0,0,0,0,0,1.5,2.5
33,0,0,0,0,0,0,0.5,0,0.5
34,0,0.5,1.5,0,1,0,1,0.5,4.5
35,0,1,0.5,0.5,0,0,0,0,2
36,0,1,1,1.5,1,0,0,1.5,6
37,0,1,0.5,1.5,1,0,1,0,5
38,0,0,0,0.5,1,0,0,1.5,3
39,0,0,0,1.5,0,0,1,1.5,4
40,0,0,0,0,0,1,0,1.5,2.5
41,1,1,0,1.5,0,0.5,1,1.5,6.5
42,0,0,0,0.5,0,0,1,1.5,3
43,1,1,1.5,1.5,1,1.5,1,0,8.5
44,0,0.5,1.5,0.5,0.5,0.5,0,0,3.5
45,0,0,0,0.5,0,0,1,0,1.5
46,1,0,0,0,0,0.5,1,1.5,4
47,1,1,1.5,0,0,0,1,1.5,6
48,0,0,1.5,1.5,0,0,0,0.5,3.5
49,0,0,0,0.5,0,0,1,1.5,3
50,1,1,1.5,1,1,1,1,1.5,9
51,0,0,0,0,0,0,0,0.5,0.5
52,1,0,0.5,1,0,0,1,1.5,5
53,0,1,0,1.5,1,0,0.5,0.5,4.5
54,0,1,0.5,0,1,0,0,1.5,4
55,0,1,1.5,1,1,0,1,1.5,7
56,0.5,0,0,1.5,1,1,1,0,5
57,0,1,1.5,1.5,1,1,1,1.5,8.5
58,0,1,0,1.5,0.5,1,1,1.5,6.5
59,0.5,1,0,0,0.5,0.5,1,1.5,5
60,0,0,0,0,0.5,0,0,1.5,2
61,0,0,0,1,0,0,0,0.5,1.5
62,0.5,0,1.5,0,1,0,1,1.5,5.5
63,0,0,0,1,0,0,0,1.5,2.5
64,0,0,0,0,1,0,1,1.5,3.5
65,1,1,1.5,1.5,1,1.5,0.5,1.5,9.5
66,0,0,0,0,0.5,0,0.5,0,1
67,0.5,0,0,1,0,0,0,1.5,3
68,0,1,0.5,1.5,0,0,1,1.5,5.5
69,0,1,0,1,0.5,0,0,1.5,4
70,0.5,0,0,0.5,0,1,0,1.5,3.5
71,0,0,0,0,0.5,0,0.5,0,1
72,0.5,1,0,0,0.5,0,1,1.5,4.5
73,1,0,1.5,0,1,0,0.5,1.5,5.5
74,0,0.5,0,0,0,1,0,0.5,2
75,1,1,1.5,0,0,0.5,0,1.5,5.5
76,0,0,0,0.5,0,0,1,0.5,2
77,0,1,0,0,0,0,1,0.5,2.5
78,0,0,1,0,0,0,1,0.5,2.5
79,0,0.5,0,0,0,0,1,1.5,3
80,1,1,1,0,0,0,1,1.5,5.5
