ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total
1,1,1,1.5,1,0,1,1,1.5,8
2,0,0,0,1,1,0,1,1.5,4.5
3,1,1,0,1,0,1,0,1.5,5.5
4,0,1,0,0,0.5,0,0.5,0.5,2.5
5,0,0.5,0,0.5,0,0,1,0,2
6,0.5,0.5,0.5,0,0,0.5,1,1.5,4.5
10,0.5,1,0,1,1,1,1,0.5,6
11,1,0,1,0,1,0,1,0.5,4.5
12,1,0,0.5,0,0,0,0,0,1.5
13,1,1,0,1.5,1,1.5,1,1.5,8.5
14,0,1,1.5,0,0,0.5,1,0,4
15,0,1,1,0,0,0,1,0.5,3.5
25,1,1,1.5,0,0.5,1,0,1.5,6.5
26,1,1,1,0.5,0.5,0.5,1,1.5,7
27,0,1,1.5,1,0.5,0,1,1.5,6.5
28,1,1,0,1.5,1,1,0,1.5,7
29,0,0,0,0,0,0,0.5,0.5,1
30,1,0,1,0,0,0,1,0,3
31,0.5,1,0,1.5,1,1,1,1.5,7.5
32,0,1,0,0,0,0,0,1.5,2.5
33,0,0,0,0,0,0,0.5,0,0.5
43,1,1,1.5,1.5,1,1.5,1,0,8.5
44,0,0.5,1.5,0.5,0.5,0.5,0,0,3.5
45,0,0,0,0.5,0,0,1,0,1.5
46,1,0,0,0,0,0.5,1,1.5,4
47,1,1,1.5,0,0,0,1,1.5,6
48,0,0,1.5,1.5,0,0,0,0.5,3.5
49,0,0,0,0.5,0,0,1,1.5,3
50,1,1,1.5,1,1,1,1,1.5,9
51,0,0,0,0,0,0,0,0.5,0.5
71,0,0,0,0,0.5,0,0.5,0,1
72,0.5,1,0,0,0.5,0,1,1.5,4.5
73,1,0,1.5,0,1,0,0.5,1.5,5.5
74,0,0.5,0,0,0,1,0,0.5,2
75,1,1,1.5,0,0,0.5,0,1.5,5.5
76,0,0,0,0.5,0,0,1,0.5,2
77,0,1,0,0,0,0,1,0.5,2.5
78,0,0,1,0,0,0,1,0.5,2.5
79,0,0.5,0,0,0,0,1,1.5,3
80,1,1,1,0,0,0,1,1.5,5.5
