ID,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Total
7,1,1,0.5,0,0,0,1,1.5,5
8,0,0,0,0,0,0,0,1.5,1.5
9,0,0.5,0.5,1.5,1,0,0,0.5,4
16,0,0,0,1.5,1,0,0,0.5,3
17,0,1,1.5,1.5,0,0,0,1.5,5.5
18,0,0,0.5,0,0.5,0,1,1.5,3.5
19,0,1,1.5,1,1,0,1,1.5,7
20,0.5,1,0,1.5,1,1,0,1.5,6.5
21,0,0,1,1.5,1,1,0,1.5,6
22,0,1,0,1,0,0,1,1.5,4.5
23,0,1,0,1.5,0.5,0,0,1.5,4.5
24,1,0,0,1,0,0,0,1.5,3.5
34,0,0.5,1.5,0,1,0,1,0.5,4.5
35,0,1,0.5,0.5,0,0,0,0,2
36,0,1,1,1.5,1,0,0,1.5,6
37,0,1,0.5,1.5,1,0,1,0,5
38,0,0,0,0.5,1,0,0,1.5,3
39,0,0,0,1.5,0,0,1,1.5,4
40,0,0,0,0,0,1,0,1.5,2.5
41,1,1,0,1.5,0,0.5,1,1.5,6.5
42,0,0,0,0.5,0,0,1,1.5,3
52,1,0,0.5,1,0,0,1,1.5,5
53,0,1,0,1.5,1,0,0.5,0.5,4.5
54,0,1,0.5,0,1,0,0,1.5,4
55,0,1,1.5,1,1,0,1,1.5,7
56,0.5,0,0,1.5,1,1,1,0,5
57,0,1,1.5,1.5,1,1,1,1.5,8.5
58,0,1,0,1.5,0.5,1,1,1.5,6.5
59,0.5,1,0,0,0.5,0.5,1,1.5,5
60,0,0,0,0,0.5,0,0,1.5,2
61,0,0,0,1,0,0,0,0.5,1.5
62,0.5,0,1.5,0,1,0,1,1.5,5.5
63,0,0,0,1,0,0,0,1.5,2.5
64,0,0,0,0,1,0,1,1.5,3.5
65,1,1,1.5,1.5,1,1.5,0.5,1.5,9.5
66,0,0,0,0,0.5,0,0.5,0,1
67,0.5,0,0,1,0,0,0,1.5,3
68,0,1,0.5,1.5,0,0,1,1.5,5.5
69,0,1,0,1,0.5,0,0,1.5,4
70,0.5,0,0,0.5,0,1,0,1.5,3.5
